Date,FTSE Nareit U.S. Real Estate Index Series
2020-10-01,7327.33
2020-11-01,8040.25
2020-12-01,8261.85
2021-01-01,8248.44
2021-02-01,8500.61
2021-03-01,8962.61
2021-04-01,9669.68
2021-05-01,9745.18
2021-06-01,10012.26
2021-07-01,10413.90
2021-08-01,10636.99
2021-09-01,10027.59
2021-10-01,10721.35
